Title,Price,Link,Image,Description,ReviewAuthor,ReviewRating,ReviewTitle,ReviewBody,ReviewDate
"JBL Tune 510 BT - Casque supra-auriculaire sans fil - Son JBL Pure Bass - Bluetooth 5.0 - Jusqu'à 40h d'autonomie - Noir","39,99 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi/f-1065420-auc6925281987267.html#mpos=1|cd","https://www.cdiscount.com/pdt2/2/6/7/1/400x400/auc6925281987267/rw/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi.jpg","Casque JBL Tune 510BT Noir Autonomie très élevée (40h max.),Léger (150g),Bluetooth et filaire","Katouche • publié le","5,0","Bon achat","Il me suffit pour l'utilisation que j'en fais. Comme écoutée de la musique ou film. Il est très bien.","22/12/2025"
"JBL Tune 510 BT - Casque supra-auriculaire sans fil - Son JBL Pure Bass - Bluetooth 5.0 - Jusqu'à 40h d'autonomie - Noir","39,99 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi/f-1065420-auc6925281987267.html#mpos=1|cd","https://www.cdiscount.com/pdt2/2/6/7/1/400x400/auc6925281987267/rw/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi.jpg","Casque JBL Tune 510BT Noir Autonomie très élevée (40h max.),Léger (150g),Bluetooth et filaire","france38 • publié le","5,0","Pas encore servi","Pas encore servi cadeau d anniversaire pour ma petite fille","21/12/2025"
"JBL Tune 510 BT - Casque supra-auriculaire sans fil - Son JBL Pure Bass - Bluetooth 5.0 - Jusqu'à 40h d'autonomie - Noir","39,99 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi/f-1065420-auc6925281987267.html#mpos=1|cd","https://www.cdiscount.com/pdt2/2/6/7/1/400x400/auc6925281987267/rw/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi.jpg","Casque JBL Tune 510BT Noir Autonomie très élevée (40h max.),Léger (150g),Bluetooth et filaire","Steph83 • publié le","3,0","Avis casque JBL","Pas encore cadeau pour Noël","20/12/2025"
"JBL Tune 510 BT - Casque supra-auriculaire sans fil - Son JBL Pure Bass - Bluetooth 5.0 - Jusqu'à 40h d'autonomie - Noir","39,99 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi/f-1065420-auc6925281987267.html#mpos=1|cd","https://www.cdiscount.com/pdt2/2/6/7/1/400x400/auc6925281987267/rw/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi.jpg","Casque JBL Tune 510BT Noir Autonomie très élevée (40h max.),Léger (150g),Bluetooth et filaire","Nini • publié le","5,0","Super","Ravis de mon achat. Ce casque me convient parfaitement, le son est nickel.","19/12/2025"
"JBL Tune 510 BT - Casque supra-auriculaire sans fil - Son JBL Pure Bass - Bluetooth 5.0 - Jusqu'à 40h d'autonomie - Noir","39,99 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi/f-1065420-auc6925281987267.html#mpos=1|cd","https://www.cdiscount.com/pdt2/2/6/7/1/400x400/auc6925281987267/rw/jbl-tune-510-bt-casque-supra-auriculaire-sans-fi.jpg","Casque JBL Tune 510BT Noir Autonomie très élevée (40h max.),Léger (150g),Bluetooth et filaire","Carabus67 • publié le","5,0","Valeur sur","J'ai acheté ce casque audio pour l'offrir je connais bien cette marque j'en ai déjà acheté plusieurs. J'ai toujours été satisfaite de la marque.","17/12/2025"
"Casque sans fil Bluetooth Marshall Major IV Noir","69,00 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/casque-sans-fil-bluetooth-marshall-major-iv-noir/f-1065420-mar7340055379458.html#mpos=2|cd","https://www.cdiscount.com/pdt2/4/5/8/1/400x400/mar7340055379458/rw/casque-sans-fil-bluetooth-marshall-major-iv-noir.jpg","UN SON EMBLÉMATIQUE Le Major IV vous offre le son Marshall emblématique sur lequel vous comptez. Il condense plus de 55 d’expérience pour un son explosif. Ses transducteurs dynamiques personnalisés produisent des graves rugissants, des médiums harmonieux et des aigus cristallins, pour un son incomparable dont ne pourrez bientôt plus vous passer. PLUS DE 80 HEURES D'AUTONOMIE Le casque Major IV offre plus de 80 heures de lecture sans fil. Avec plus de deux jours complets d’autonomie, vous n’aurez plus à vous soucier du niveau de charge de votre casque. Voici un casque véritablement conçu pour les voyages à longue durée. Et si vous retrouvez malgré tout à court de batterie, branchez simplement votre câble jack de 3,5 mm sur votre appareil et reprenez votre écoute. Le Major IV offre également une option de recharge rapide : 15 minutes suffisent pour vous fournir 15 heures d’écoute. UN DESIGN ERGONOMIQUE AMÉLIORÉ Le nouveau design du Major IV présente des propriétés ergonomiques améliorées, pour que la dixième heure d’écoute soit aussi confortable que la première. Vous pourrez ainsi vous immerger dans votre musique sans retenue. De plus, ses coussinets d’oreillette sont plus doux, et s’adaptent encore plus fidèlement à la forme de vos oreilles, pour un casque de plus en plus agréable à mesure que vous le portez. CHARGEMENT SANS FIL Le Major IV offre une option de charge sans fil, pour un casque plus mobile que jamais. Il vous suffit de placer délicatement votre casque sur le support de charge. Les ganses en silicone mat des oreillettes assurent sa stabilité. Ne perdez plus de temps à chercher votre câble de charge parmi un méli-mélo de fils en tous genres, et concentrez-vous sur l’essentiel : l’écoute de votre musique. BOUTON DE CONTRÔLE MULTI-DIRECTIONNEL Grâce au bouton de contrôle multidirectionnel, vous pouvez lancer la lecture, mettre en pause, changer de piste et régler le volume de votre appareil, ainsi qu’éteindre ou allumer votre casque. La fonctionnalité téléphone est également incluse, vous permettant ainsi de répondre, de rejeter ou de terminer un appel en quelques clics. UN DESIGN MARSHALL EMBLÉMATIQUE Le Major IV combine une grande simplicité d’utilisation à des éléments classiques propres à Marshall, pour un design général aussi emblématique qu’innovant. La nouvelle pince de blocage vous permet de plier le Major IV dans un format encore plus compact, et ses oreillettes sont protégées contre l’usure excessive. Il dispose d’un bouton de contrôle tactile très efficace, est conçu dans un matériau en vinyle noir texturé et présente un logo Marshall iconique, tout en offrant une solidité adaptée à un usage au quotidien. PARTAGEZ VOTRE MUSIQUE La prise jack de 3,5 mm du casque Major IV vous sert à le brancher lorsque le niveau de la batterie est faible, mais elle permet également à un ami d’écouter votre musique en même temps que vous. Partager de la musique entre amis n’aura jamais été aussi simple et rapide.","amed","5,0","IV","Très ergonomique confort et bonne qualité de son","Publié le 14/12/2025, dans le cadre d'un programme d'incitation au dépôt d'avis"
"Casque sans fil Bluetooth Marshall Major IV Noir","69,00 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/casque-sans-fil-bluetooth-marshall-major-iv-noir/f-1065420-mar7340055379458.html#mpos=2|cd","https://www.cdiscount.com/pdt2/4/5/8/1/400x400/mar7340055379458/rw/casque-sans-fil-bluetooth-marshall-major-iv-noir.jpg","UN SON EMBLÉMATIQUE Le Major IV vous offre le son Marshall emblématique sur lequel vous comptez. Il condense plus de 55 d’expérience pour un son explosif. Ses transducteurs dynamiques personnalisés produisent des graves rugissants, des médiums harmonieux et des aigus cristallins, pour un son incomparable dont ne pourrez bientôt plus vous passer. PLUS DE 80 HEURES D'AUTONOMIE Le casque Major IV offre plus de 80 heures de lecture sans fil. Avec plus de deux jours complets d’autonomie, vous n’aurez plus à vous soucier du niveau de charge de votre casque. Voici un casque véritablement conçu pour les voyages à longue durée. Et si vous retrouvez malgré tout à court de batterie, branchez simplement votre câble jack de 3,5 mm sur votre appareil et reprenez votre écoute. Le Major IV offre également une option de recharge rapide : 15 minutes suffisent pour vous fournir 15 heures d’écoute. UN DESIGN ERGONOMIQUE AMÉLIORÉ Le nouveau design du Major IV présente des propriétés ergonomiques améliorées, pour que la dixième heure d’écoute soit aussi confortable que la première. Vous pourrez ainsi vous immerger dans votre musique sans retenue. De plus, ses coussinets d’oreillette sont plus doux, et s’adaptent encore plus fidèlement à la forme de vos oreilles, pour un casque de plus en plus agréable à mesure que vous le portez. CHARGEMENT SANS FIL Le Major IV offre une option de charge sans fil, pour un casque plus mobile que jamais. Il vous suffit de placer délicatement votre casque sur le support de charge. Les ganses en silicone mat des oreillettes assurent sa stabilité. Ne perdez plus de temps à chercher votre câble de charge parmi un méli-mélo de fils en tous genres, et concentrez-vous sur l’essentiel : l’écoute de votre musique. BOUTON DE CONTRÔLE MULTI-DIRECTIONNEL Grâce au bouton de contrôle multidirectionnel, vous pouvez lancer la lecture, mettre en pause, changer de piste et régler le volume de votre appareil, ainsi qu’éteindre ou allumer votre casque. La fonctionnalité téléphone est également incluse, vous permettant ainsi de répondre, de rejeter ou de terminer un appel en quelques clics. UN DESIGN MARSHALL EMBLÉMATIQUE Le Major IV combine une grande simplicité d’utilisation à des éléments classiques propres à Marshall, pour un design général aussi emblématique qu’innovant. La nouvelle pince de blocage vous permet de plier le Major IV dans un format encore plus compact, et ses oreillettes sont protégées contre l’usure excessive. Il dispose d’un bouton de contrôle tactile très efficace, est conçu dans un matériau en vinyle noir texturé et présente un logo Marshall iconique, tout en offrant une solidité adaptée à un usage au quotidien. PARTAGEZ VOTRE MUSIQUE La prise jack de 3,5 mm du casque Major IV vous sert à le brancher lorsque le niveau de la batterie est faible, mais elle permet également à un ami d’écouter votre musique en même temps que vous. Partager de la musique entre amis n’aura jamais été aussi simple et rapide.","Remrem42","4,0","Major IV","Très bon casque je suis surpris .","Publié le 11/12/2025, dans le cadre d'un programme d'incitation au dépôt d'avis"
"Casque sans fil Bluetooth Marshall Major IV Noir","69,00 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/casque-sans-fil-bluetooth-marshall-major-iv-noir/f-1065420-mar7340055379458.html#mpos=2|cd","https://www.cdiscount.com/pdt2/4/5/8/1/400x400/mar7340055379458/rw/casque-sans-fil-bluetooth-marshall-major-iv-noir.jpg","UN SON EMBLÉMATIQUE Le Major IV vous offre le son Marshall emblématique sur lequel vous comptez. Il condense plus de 55 d’expérience pour un son explosif. Ses transducteurs dynamiques personnalisés produisent des graves rugissants, des médiums harmonieux et des aigus cristallins, pour un son incomparable dont ne pourrez bientôt plus vous passer. PLUS DE 80 HEURES D'AUTONOMIE Le casque Major IV offre plus de 80 heures de lecture sans fil. Avec plus de deux jours complets d’autonomie, vous n’aurez plus à vous soucier du niveau de charge de votre casque. Voici un casque véritablement conçu pour les voyages à longue durée. Et si vous retrouvez malgré tout à court de batterie, branchez simplement votre câble jack de 3,5 mm sur votre appareil et reprenez votre écoute. Le Major IV offre également une option de recharge rapide : 15 minutes suffisent pour vous fournir 15 heures d’écoute. UN DESIGN ERGONOMIQUE AMÉLIORÉ Le nouveau design du Major IV présente des propriétés ergonomiques améliorées, pour que la dixième heure d’écoute soit aussi confortable que la première. Vous pourrez ainsi vous immerger dans votre musique sans retenue. De plus, ses coussinets d’oreillette sont plus doux, et s’adaptent encore plus fidèlement à la forme de vos oreilles, pour un casque de plus en plus agréable à mesure que vous le portez. CHARGEMENT SANS FIL Le Major IV offre une option de charge sans fil, pour un casque plus mobile que jamais. Il vous suffit de placer délicatement votre casque sur le support de charge. Les ganses en silicone mat des oreillettes assurent sa stabilité. Ne perdez plus de temps à chercher votre câble de charge parmi un méli-mélo de fils en tous genres, et concentrez-vous sur l’essentiel : l’écoute de votre musique. BOUTON DE CONTRÔLE MULTI-DIRECTIONNEL Grâce au bouton de contrôle multidirectionnel, vous pouvez lancer la lecture, mettre en pause, changer de piste et régler le volume de votre appareil, ainsi qu’éteindre ou allumer votre casque. La fonctionnalité téléphone est également incluse, vous permettant ainsi de répondre, de rejeter ou de terminer un appel en quelques clics. UN DESIGN MARSHALL EMBLÉMATIQUE Le Major IV combine une grande simplicité d’utilisation à des éléments classiques propres à Marshall, pour un design général aussi emblématique qu’innovant. La nouvelle pince de blocage vous permet de plier le Major IV dans un format encore plus compact, et ses oreillettes sont protégées contre l’usure excessive. Il dispose d’un bouton de contrôle tactile très efficace, est conçu dans un matériau en vinyle noir texturé et présente un logo Marshall iconique, tout en offrant une solidité adaptée à un usage au quotidien. PARTAGEZ VOTRE MUSIQUE La prise jack de 3,5 mm du casque Major IV vous sert à le brancher lorsque le niveau de la batterie est faible, mais elle permet également à un ami d’écouter votre musique en même temps que vous. Partager de la musique entre amis n’aura jamais été aussi simple et rapide.","sebastien62140","5,0","Super","Très Facile d'utilisation. Le son est excellent, pas de perte ni grésillement, les basses sont bien présente. C'est du Marshall","Publié le 11/12/2025, dans le cadre d'un programme d'incitation au dépôt d'avis"
"Casque sans fil Bluetooth Marshall Major IV Noir","69,00 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/casque-sans-fil-bluetooth-marshall-major-iv-noir/f-1065420-mar7340055379458.html#mpos=2|cd","https://www.cdiscount.com/pdt2/4/5/8/1/400x400/mar7340055379458/rw/casque-sans-fil-bluetooth-marshall-major-iv-noir.jpg","UN SON EMBLÉMATIQUE Le Major IV vous offre le son Marshall emblématique sur lequel vous comptez. Il condense plus de 55 d’expérience pour un son explosif. Ses transducteurs dynamiques personnalisés produisent des graves rugissants, des médiums harmonieux et des aigus cristallins, pour un son incomparable dont ne pourrez bientôt plus vous passer. PLUS DE 80 HEURES D'AUTONOMIE Le casque Major IV offre plus de 80 heures de lecture sans fil. Avec plus de deux jours complets d’autonomie, vous n’aurez plus à vous soucier du niveau de charge de votre casque. Voici un casque véritablement conçu pour les voyages à longue durée. Et si vous retrouvez malgré tout à court de batterie, branchez simplement votre câble jack de 3,5 mm sur votre appareil et reprenez votre écoute. Le Major IV offre également une option de recharge rapide : 15 minutes suffisent pour vous fournir 15 heures d’écoute. UN DESIGN ERGONOMIQUE AMÉLIORÉ Le nouveau design du Major IV présente des propriétés ergonomiques améliorées, pour que la dixième heure d’écoute soit aussi confortable que la première. Vous pourrez ainsi vous immerger dans votre musique sans retenue. De plus, ses coussinets d’oreillette sont plus doux, et s’adaptent encore plus fidèlement à la forme de vos oreilles, pour un casque de plus en plus agréable à mesure que vous le portez. CHARGEMENT SANS FIL Le Major IV offre une option de charge sans fil, pour un casque plus mobile que jamais. Il vous suffit de placer délicatement votre casque sur le support de charge. Les ganses en silicone mat des oreillettes assurent sa stabilité. Ne perdez plus de temps à chercher votre câble de charge parmi un méli-mélo de fils en tous genres, et concentrez-vous sur l’essentiel : l’écoute de votre musique. BOUTON DE CONTRÔLE MULTI-DIRECTIONNEL Grâce au bouton de contrôle multidirectionnel, vous pouvez lancer la lecture, mettre en pause, changer de piste et régler le volume de votre appareil, ainsi qu’éteindre ou allumer votre casque. La fonctionnalité téléphone est également incluse, vous permettant ainsi de répondre, de rejeter ou de terminer un appel en quelques clics. UN DESIGN MARSHALL EMBLÉMATIQUE Le Major IV combine une grande simplicité d’utilisation à des éléments classiques propres à Marshall, pour un design général aussi emblématique qu’innovant. La nouvelle pince de blocage vous permet de plier le Major IV dans un format encore plus compact, et ses oreillettes sont protégées contre l’usure excessive. Il dispose d’un bouton de contrôle tactile très efficace, est conçu dans un matériau en vinyle noir texturé et présente un logo Marshall iconique, tout en offrant une solidité adaptée à un usage au quotidien. PARTAGEZ VOTRE MUSIQUE La prise jack de 3,5 mm du casque Major IV vous sert à le brancher lorsque le niveau de la batterie est faible, mais elle permet également à un ami d’écouter votre musique en même temps que vous. Partager de la musique entre amis n’aura jamais été aussi simple et rapide.","psmeyer","5,0","bluffant!","Produit reçu dans les temps. Agréablement surpris: pour le prix je ne m attendais pas à cette qualité, bonne durée d'écoute, il reste compact mais à tout d'un grand. Bravo encore Marshall et merci Cdiscount!","Publié le 09/12/2025, dans le cadre d'un programme d'incitation au dépôt d'avis"
"Casque sans fil Bluetooth Marshall Major IV Noir","69,00 €","https://www.cdiscount.com/high-tech/casques-baladeur-hifi/casque-sans-fil-bluetooth-marshall-major-iv-noir/f-1065420-mar7340055379458.html#mpos=2|cd","https://www.cdiscount.com/pdt2/4/5/8/1/400x400/mar7340055379458/rw/casque-sans-fil-bluetooth-marshall-major-iv-noir.jpg","UN SON EMBLÉMATIQUE Le Major IV vous offre le son Marshall emblématique sur lequel vous comptez. Il condense plus de 55 d’expérience pour un son explosif. Ses transducteurs dynamiques personnalisés produisent des graves rugissants, des médiums harmonieux et des aigus cristallins, pour un son incomparable dont ne pourrez bientôt plus vous passer. PLUS DE 80 HEURES D'AUTONOMIE Le casque Major IV offre plus de 80 heures de lecture sans fil. Avec plus de deux jours complets d’autonomie, vous n’aurez plus à vous soucier du niveau de charge de votre casque. Voici un casque véritablement conçu pour les voyages à longue durée. Et si vous retrouvez malgré tout à court de batterie, branchez simplement votre câble jack de 3,5 mm sur votre appareil et reprenez votre écoute. Le Major IV offre également une option de recharge rapide : 15 minutes suffisent pour vous fournir 15 heures d’écoute. UN DESIGN ERGONOMIQUE AMÉLIORÉ Le nouveau design du Major IV présente des propriétés ergonomiques améliorées, pour que la dixième heure d’écoute soit aussi confortable que la première. Vous pourrez ainsi vous immerger dans votre musique sans retenue. De plus, ses coussinets d’oreillette sont plus doux, et s’adaptent encore plus fidèlement à la forme de vos oreilles, pour un casque de plus en plus agréable à mesure que vous le portez. CHARGEMENT SANS FIL Le Major IV offre une option de charge sans fil, pour un casque plus mobile que jamais. Il vous suffit de placer délicatement votre casque sur le support de charge. Les ganses en silicone mat des oreillettes assurent sa stabilité. Ne perdez plus de temps à chercher votre câble de charge parmi un méli-mélo de fils en tous genres, et concentrez-vous sur l’essentiel : l’écoute de votre musique. BOUTON DE CONTRÔLE MULTI-DIRECTIONNEL Grâce au bouton de contrôle multidirectionnel, vous pouvez lancer la lecture, mettre en pause, changer de piste et régler le volume de votre appareil, ainsi qu’éteindre ou allumer votre casque. La fonctionnalité téléphone est également incluse, vous permettant ainsi de répondre, de rejeter ou de terminer un appel en quelques clics. UN DESIGN MARSHALL EMBLÉMATIQUE Le Major IV combine une grande simplicité d’utilisation à des éléments classiques propres à Marshall, pour un design général aussi emblématique qu’innovant. La nouvelle pince de blocage vous permet de plier le Major IV dans un format encore plus compact, et ses oreillettes sont protégées contre l’usure excessive. Il dispose d’un bouton de contrôle tactile très efficace, est conçu dans un matériau en vinyle noir texturé et présente un logo Marshall iconique, tout en offrant une solidité adaptée à un usage au quotidien. PARTAGEZ VOTRE MUSIQUE La prise jack de 3,5 mm du casque Major IV vous sert à le brancher lorsque le niveau de la batterie est faible, mais elle permet également à un ami d’écouter votre musique en même temps que vous. Partager de la musique entre amis n’aura jamais été aussi simple et rapide.","ziiiza","5,0","Casque Marshall major","Mon produit est conforme à sa description. Le son est juste génial. Longue Autonomie","Publié le 09/12/2025, dans le cadre d'un programme d'incitation au dépôt d'avis"
