Title,Price,Link,Image,Description,ReviewAuthor,ReviewRating,ReviewTitle,ReviewBody,ReviewDate
"Samsung Galaxy A15 4G Smartphone 128 Go Bleu","98,99 €","https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a15-4g-smartphone-128-go-bleu/f-14404-sam1704419966846.html#mpos=1|mp","https://www.cdiscount.com/pdt2/8/4/6/1/400x400/sam1704419966846/rw/samsung-galaxy-a15-4g-smartphone-128-go-bleu.jpg","Galaxy A15 Plongez dans votre univers avec son écran lumineux et ses couleurs vives : Son écran Super AMOLED de 6,5 pouces offre des couleurs éclatantes même en plein soleil grâce à la fonction Vision Booster. Regardez vos séries et films préférés dans des conditions plus qu'agréables : un taux de rafraîchissement à 90Hz pour une belle fluidité, une luminosité accrue pour ne pas en rater une miette et un confort de visionnage avec le mode 'Confort visuel' pour préserver vos yeux des lumières bleues, tout est réuni pour vous faire vivre une expérience au top ! Le parfait équilibre entre minimalisme et modernité : Conçu pour être au centre de l'attention. Le Galaxy A15 met en valeur son esthétique raffinée grâce à un design moderne, un dos en verre avec un fini brillant et son triple capteur photo signature des smartphones Galaxy. Osez la couleur avec ses irrésistibles teintes : Bleu nuit, Bleu et Lime. Choisissez votre objectif. Trouvez votre angle : Découvrez-vous des talents de photographe. Le Galaxy A15 est doté d'un capteur principal de 50 MP pour capturer vos plus beaux clichés en haute-résolution. Idéal pour vos voyages, les photos en famille, entre amis ou les moments simples du quotidien, son triple capteur saura satisfaire votre envie d'immortaliser les moments qui comptent pour vous. Et si vous souhaitez révéler la star qui sommeille en vous, la caméra avant et ses 13 MP sera idéale pour réaliser des selfies éclatants. La performance idéale pour vous accompagner au quotidien : Facilitez-vous la vie grâce à un processeur octa-core pour des performances optimales. Il pourra vous accompagner dans toutes vos activités: visionner du contenu, écouter de la musique, prendre des photos, jouer à des jeux ou encore passer du temps sur les réseaux sociaux; en bref jonglez entre toutes vos tâches avec fluidité. Son espace de stockage extensible vous permettra de profiter encore plus. Jusqu'à deux jours d'autonomie et une charge super rapide pour une pleine sérénité : Consacrez plus de temps à vos activités préférées avec une batterie de 5 000 mAh qui dure jusqu'à 2 jours et se recharge rapidement avec la charge super rapide 25W. Ainsi, votre smartphone se recharge en deux temps trois mouvements pour vous permettre de continuer à faire ce que vous aimez.","Youssef • publié le","5,0","Avis samsung A15","Téléphone avec un bon rapport qualité prix,maniable et facile d'utilisation",""
"Samsung Galaxy A15 4G Smartphone 128 Go Bleu","98,99 €","https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a15-4g-smartphone-128-go-bleu/f-14404-sam1704419966846.html#mpos=1|mp","https://www.cdiscount.com/pdt2/8/4/6/1/400x400/sam1704419966846/rw/samsung-galaxy-a15-4g-smartphone-128-go-bleu.jpg","Galaxy A15 Plongez dans votre univers avec son écran lumineux et ses couleurs vives : Son écran Super AMOLED de 6,5 pouces offre des couleurs éclatantes même en plein soleil grâce à la fonction Vision Booster. Regardez vos séries et films préférés dans des conditions plus qu'agréables : un taux de rafraîchissement à 90Hz pour une belle fluidité, une luminosité accrue pour ne pas en rater une miette et un confort de visionnage avec le mode 'Confort visuel' pour préserver vos yeux des lumières bleues, tout est réuni pour vous faire vivre une expérience au top ! Le parfait équilibre entre minimalisme et modernité : Conçu pour être au centre de l'attention. Le Galaxy A15 met en valeur son esthétique raffinée grâce à un design moderne, un dos en verre avec un fini brillant et son triple capteur photo signature des smartphones Galaxy. Osez la couleur avec ses irrésistibles teintes : Bleu nuit, Bleu et Lime. Choisissez votre objectif. Trouvez votre angle : Découvrez-vous des talents de photographe. Le Galaxy A15 est doté d'un capteur principal de 50 MP pour capturer vos plus beaux clichés en haute-résolution. Idéal pour vos voyages, les photos en famille, entre amis ou les moments simples du quotidien, son triple capteur saura satisfaire votre envie d'immortaliser les moments qui comptent pour vous. Et si vous souhaitez révéler la star qui sommeille en vous, la caméra avant et ses 13 MP sera idéale pour réaliser des selfies éclatants. La performance idéale pour vous accompagner au quotidien : Facilitez-vous la vie grâce à un processeur octa-core pour des performances optimales. Il pourra vous accompagner dans toutes vos activités: visionner du contenu, écouter de la musique, prendre des photos, jouer à des jeux ou encore passer du temps sur les réseaux sociaux; en bref jonglez entre toutes vos tâches avec fluidité. Son espace de stockage extensible vous permettra de profiter encore plus. Jusqu'à deux jours d'autonomie et une charge super rapide pour une pleine sérénité : Consacrez plus de temps à vos activités préférées avec une batterie de 5 000 mAh qui dure jusqu'à 2 jours et se recharge rapidement avec la charge super rapide 25W. Ainsi, votre smartphone se recharge en deux temps trois mouvements pour vous permettre de continuer à faire ce que vous aimez.","sisi • publié le","4,0","Intéressant","Bon format facile d'utilisation prix intéressant",""
"Samsung Galaxy A15 4G Smartphone 128 Go Bleu","98,99 €","https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a15-4g-smartphone-128-go-bleu/f-14404-sam1704419966846.html#mpos=1|mp","https://www.cdiscount.com/pdt2/8/4/6/1/400x400/sam1704419966846/rw/samsung-galaxy-a15-4g-smartphone-128-go-bleu.jpg","Galaxy A15 Plongez dans votre univers avec son écran lumineux et ses couleurs vives : Son écran Super AMOLED de 6,5 pouces offre des couleurs éclatantes même en plein soleil grâce à la fonction Vision Booster. Regardez vos séries et films préférés dans des conditions plus qu'agréables : un taux de rafraîchissement à 90Hz pour une belle fluidité, une luminosité accrue pour ne pas en rater une miette et un confort de visionnage avec le mode 'Confort visuel' pour préserver vos yeux des lumières bleues, tout est réuni pour vous faire vivre une expérience au top ! Le parfait équilibre entre minimalisme et modernité : Conçu pour être au centre de l'attention. Le Galaxy A15 met en valeur son esthétique raffinée grâce à un design moderne, un dos en verre avec un fini brillant et son triple capteur photo signature des smartphones Galaxy. Osez la couleur avec ses irrésistibles teintes : Bleu nuit, Bleu et Lime. Choisissez votre objectif. Trouvez votre angle : Découvrez-vous des talents de photographe. Le Galaxy A15 est doté d'un capteur principal de 50 MP pour capturer vos plus beaux clichés en haute-résolution. Idéal pour vos voyages, les photos en famille, entre amis ou les moments simples du quotidien, son triple capteur saura satisfaire votre envie d'immortaliser les moments qui comptent pour vous. Et si vous souhaitez révéler la star qui sommeille en vous, la caméra avant et ses 13 MP sera idéale pour réaliser des selfies éclatants. La performance idéale pour vous accompagner au quotidien : Facilitez-vous la vie grâce à un processeur octa-core pour des performances optimales. Il pourra vous accompagner dans toutes vos activités: visionner du contenu, écouter de la musique, prendre des photos, jouer à des jeux ou encore passer du temps sur les réseaux sociaux; en bref jonglez entre toutes vos tâches avec fluidité. Son espace de stockage extensible vous permettra de profiter encore plus. Jusqu'à deux jours d'autonomie et une charge super rapide pour une pleine sérénité : Consacrez plus de temps à vos activités préférées avec une batterie de 5 000 mAh qui dure jusqu'à 2 jours et se recharge rapidement avec la charge super rapide 25W. Ainsi, votre smartphone se recharge en deux temps trois mouvements pour vous permettre de continuer à faire ce que vous aimez.","Guca • publié le","1,0","Lent et mauvaise réception","Bonjour, J'ai eu l'occasion de tester ce téléphone sur une journée avant de le renvoyer Il avait beaucoup de mal à capter le réseau opérateur alors que tous les téléphones de la maison captent normalement (sur le Wifi ça avait l'air ok) L'appareil est très long a démarrer, puis globalement lent à utiliser A chaque démarrage, la luminosité du téléphone se remet au minimum donc difficile de saisir son code pin L'écran est en surépaisseur par rapport au téléphone lui-même et donc très exposé aux chocs Bref, j'ai renvoyé et pour quelques euros de plus, on passe sur un Pixel7 qui sera largement supérieur en tous points Merci Cdiscount pour nous avoir permis de renvoyer l'appareil + remboursé",""
"Samsung Galaxy A15 4G Smartphone 128 Go Bleu","98,99 €","https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a15-4g-smartphone-128-go-bleu/f-14404-sam1704419966846.html#mpos=1|mp","https://www.cdiscount.com/pdt2/8/4/6/1/400x400/sam1704419966846/rw/samsung-galaxy-a15-4g-smartphone-128-go-bleu.jpg","Galaxy A15 Plongez dans votre univers avec son écran lumineux et ses couleurs vives : Son écran Super AMOLED de 6,5 pouces offre des couleurs éclatantes même en plein soleil grâce à la fonction Vision Booster. Regardez vos séries et films préférés dans des conditions plus qu'agréables : un taux de rafraîchissement à 90Hz pour une belle fluidité, une luminosité accrue pour ne pas en rater une miette et un confort de visionnage avec le mode 'Confort visuel' pour préserver vos yeux des lumières bleues, tout est réuni pour vous faire vivre une expérience au top ! Le parfait équilibre entre minimalisme et modernité : Conçu pour être au centre de l'attention. Le Galaxy A15 met en valeur son esthétique raffinée grâce à un design moderne, un dos en verre avec un fini brillant et son triple capteur photo signature des smartphones Galaxy. Osez la couleur avec ses irrésistibles teintes : Bleu nuit, Bleu et Lime. Choisissez votre objectif. Trouvez votre angle : Découvrez-vous des talents de photographe. Le Galaxy A15 est doté d'un capteur principal de 50 MP pour capturer vos plus beaux clichés en haute-résolution. Idéal pour vos voyages, les photos en famille, entre amis ou les moments simples du quotidien, son triple capteur saura satisfaire votre envie d'immortaliser les moments qui comptent pour vous. Et si vous souhaitez révéler la star qui sommeille en vous, la caméra avant et ses 13 MP sera idéale pour réaliser des selfies éclatants. La performance idéale pour vous accompagner au quotidien : Facilitez-vous la vie grâce à un processeur octa-core pour des performances optimales. Il pourra vous accompagner dans toutes vos activités: visionner du contenu, écouter de la musique, prendre des photos, jouer à des jeux ou encore passer du temps sur les réseaux sociaux; en bref jonglez entre toutes vos tâches avec fluidité. Son espace de stockage extensible vous permettra de profiter encore plus. Jusqu'à deux jours d'autonomie et une charge super rapide pour une pleine sérénité : Consacrez plus de temps à vos activités préférées avec une batterie de 5 000 mAh qui dure jusqu'à 2 jours et se recharge rapidement avec la charge super rapide 25W. Ainsi, votre smartphone se recharge en deux temps trois mouvements pour vous permettre de continuer à faire ce que vous aimez.","papedesavoie • publié le","4,0","bon téléphone","Capacité stockage très bon. Son très bon et image excellente",""
"Samsung Galaxy A15 4G Smartphone 128 Go Bleu","98,99 €","https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a15-4g-smartphone-128-go-bleu/f-14404-sam1704419966846.html#mpos=1|mp","https://www.cdiscount.com/pdt2/8/4/6/1/400x400/sam1704419966846/rw/samsung-galaxy-a15-4g-smartphone-128-go-bleu.jpg","Galaxy A15 Plongez dans votre univers avec son écran lumineux et ses couleurs vives : Son écran Super AMOLED de 6,5 pouces offre des couleurs éclatantes même en plein soleil grâce à la fonction Vision Booster. Regardez vos séries et films préférés dans des conditions plus qu'agréables : un taux de rafraîchissement à 90Hz pour une belle fluidité, une luminosité accrue pour ne pas en rater une miette et un confort de visionnage avec le mode 'Confort visuel' pour préserver vos yeux des lumières bleues, tout est réuni pour vous faire vivre une expérience au top ! Le parfait équilibre entre minimalisme et modernité : Conçu pour être au centre de l'attention. Le Galaxy A15 met en valeur son esthétique raffinée grâce à un design moderne, un dos en verre avec un fini brillant et son triple capteur photo signature des smartphones Galaxy. Osez la couleur avec ses irrésistibles teintes : Bleu nuit, Bleu et Lime. Choisissez votre objectif. Trouvez votre angle : Découvrez-vous des talents de photographe. Le Galaxy A15 est doté d'un capteur principal de 50 MP pour capturer vos plus beaux clichés en haute-résolution. Idéal pour vos voyages, les photos en famille, entre amis ou les moments simples du quotidien, son triple capteur saura satisfaire votre envie d'immortaliser les moments qui comptent pour vous. Et si vous souhaitez révéler la star qui sommeille en vous, la caméra avant et ses 13 MP sera idéale pour réaliser des selfies éclatants. La performance idéale pour vous accompagner au quotidien : Facilitez-vous la vie grâce à un processeur octa-core pour des performances optimales. Il pourra vous accompagner dans toutes vos activités: visionner du contenu, écouter de la musique, prendre des photos, jouer à des jeux ou encore passer du temps sur les réseaux sociaux; en bref jonglez entre toutes vos tâches avec fluidité. Son espace de stockage extensible vous permettra de profiter encore plus. Jusqu'à deux jours d'autonomie et une charge super rapide pour une pleine sérénité : Consacrez plus de temps à vos activités préférées avec une batterie de 5 000 mAh qui dure jusqu'à 2 jours et se recharge rapidement avec la charge super rapide 25W. Ainsi, votre smartphone se recharge en deux temps trois mouvements pour vous permettre de continuer à faire ce que vous aimez.","Charles • publié le","1,0","Produit mensongé","Aucune idée. Vente d'un téléphone pour le marché européen. Clairement du vol !!!!!!!",""
"MOTOROLA E13 - 64 Go - Noir cosmique","280,00 €","https://www.cdiscount.com/telephonie/telephone-mobile/motorola-e13-64-go-noir-cosmique/f-14404-mot0840023244780.html#mpos=2|mp","https://www.cdiscount.com/pdt2/7/8/0/1/400x400/mot0840023244780/rw/motorola-e13-64-go-noir-cosmique.jpg","Découvrez le smartphone MOTOROLA E13 avec 64 Go de mémoire interne, un écran de 6,5 pouces et un système d'exploitation Android. Profitez de la reconnaissance faciale pour une sécurité optimale. Ce smartphone est compatible avec deux cartes SIM.","Cocci33 • publié le","5,0","Très bon qualité prix","Très bon produit qualité prix.rirn a dire.","28/10/2024"
"MOTOROLA E13 - 64 Go - Noir cosmique","280,00 €","https://www.cdiscount.com/telephonie/telephone-mobile/motorola-e13-64-go-noir-cosmique/f-14404-mot0840023244780.html#mpos=2|mp","https://www.cdiscount.com/pdt2/7/8/0/1/400x400/mot0840023244780/rw/motorola-e13-64-go-noir-cosmique.jpg","Découvrez le smartphone MOTOROLA E13 avec 64 Go de mémoire interne, un écran de 6,5 pouces et un système d'exploitation Android. Profitez de la reconnaissance faciale pour une sécurité optimale. Ce smartphone est compatible avec deux cartes SIM.","UNCLE • publié le","5,0","Motorola E13","Très bon appareil mobile pratique maniable léger vraiment bien il prend des belles photos","21/06/2024"
"MOTOROLA E13 - 64 Go - Noir cosmique","280,00 €","https://www.cdiscount.com/telephonie/telephone-mobile/motorola-e13-64-go-noir-cosmique/f-14404-mot0840023244780.html#mpos=2|mp","https://www.cdiscount.com/pdt2/7/8/0/1/400x400/mot0840023244780/rw/motorola-e13-64-go-noir-cosmique.jpg","Découvrez le smartphone MOTOROLA E13 avec 64 Go de mémoire interne, un écran de 6,5 pouces et un système d'exploitation Android. Profitez de la reconnaissance faciale pour une sécurité optimale. Ce smartphone est compatible avec deux cartes SIM.","pierre84 • publié le","5,0","bon produit","impeccable pour ce gebre de tel","20/06/2024"
"MOTOROLA E13 - 64 Go - Noir cosmique","280,00 €","https://www.cdiscount.com/telephonie/telephone-mobile/motorola-e13-64-go-noir-cosmique/f-14404-mot0840023244780.html#mpos=2|mp","https://www.cdiscount.com/pdt2/7/8/0/1/400x400/mot0840023244780/rw/motorola-e13-64-go-noir-cosmique.jpg","Découvrez le smartphone MOTOROLA E13 avec 64 Go de mémoire interne, un écran de 6,5 pouces et un système d'exploitation Android. Profitez de la reconnaissance faciale pour une sécurité optimale. Ce smartphone est compatible avec deux cartes SIM.","Jean87 • publié le","2,0","Moto E 13","Mauvais appareil pour les jeux ,plante souvent chauffe beaucoup redémarré intempestivement ,pas compatibles avec certains jeux ,a éviter absolument.","03/06/2024"
"MOTOROLA E13 - 64 Go - Noir cosmique","280,00 €","https://www.cdiscount.com/telephonie/telephone-mobile/motorola-e13-64-go-noir-cosmique/f-14404-mot0840023244780.html#mpos=2|mp","https://www.cdiscount.com/pdt2/7/8/0/1/400x400/mot0840023244780/rw/motorola-e13-64-go-noir-cosmique.jpg","Découvrez le smartphone MOTOROLA E13 avec 64 Go de mémoire interne, un écran de 6,5 pouces et un système d'exploitation Android. Profitez de la reconnaissance faciale pour une sécurité optimale. Ce smartphone est compatible avec deux cartes SIM.","Nico • publié le","5,0","Tres bon rapport qualité prix","Léger, rempli sa fonction. 2 cartes sim possible + micro SD pour augmenter la capacité.","26/02/2024"
